CompSépalas,CompPétalas,TipoIris
5,1.4,SETOSA
6.4,5.6,VIRGINIC
6.5,4.6,VERSICOL
6.7,5.6,VIRGINIC
6.3,5.1,VIRGINIC
4.6,1.4,SETOSA
6.9,5.1,VIRGINIC
6.2,4.5,VERSICOL
5.9,4.8,VERSICOL
4.6,1,SETOSA
6.1,4.6,VERSICOL
6,5.1,VERSICOL
6.5,5.2,VIRGINIC
5.6,3.9,VERSICOL
6.5,5.5,VIRGINIC
5.8,5.1,VIRGINIC
6.8,5.9,VIRGINIC
5.1,1.7,SETOSA
5.7,4.5,VERSICOL
6.2,5.4,VIRGINIC
7.7,6.7,VIRGINIC
6.3,4.7,VERSICOL
6.7,5.7,VIRGINIC
7.6,6.6,VIRGINIC
4.9,4.5,VIRGINIC
5.5,1.3,SETOSA
6.7,5.2,VIRGINIC
7,4.7,VERSICOL
6.4,4.5,VERSICOL
6.1,4,VERSICOL
4.8,1.6,SETOSA
5.9,5.1,VIRGINIC
5.5,3.8,VERSICOL
6.3,5,VIRGINIC
6.4,5.3,VIRGINIC
5.2,1.4,SETOSA
4.9,1.4,SETOSA
5.4,4.5,VERSICOL
7.9,6.4,VIRGINIC
4.4,1.3,SETOSA
6.7,5.7,VIRGINIC
5,1.6,SETOSA
5.8,4,VERSICOL
4.4,1.3,SETOSA
7.7,6.7,VIRGINIC
6.3,4.9,VIRGINIC
4.7,1.6,SETOSA
5.5,4.4,VERSICOL
7.2,6,VIRGINIC
4.8,1.4,SETOSA
5.1,1.6,SETOSA
6.1,4.9,VIRGINIC
4.8,1.9,SETOSA
5,1.6,SETOSA
5,1.2,SETOSA
6.1,5.6,VIRGINIC
6.4,5.6,VIRGINIC
4.3,1.1,SETOSA
5.8,1.2,SETOSA
5.1,1.9,SETOSA
6.7,4.4,VERSICOL
6.2,4.8,VIRGINIC
4.9,1.4,SETOSA
5.1,1.4,SETOSA
5.6,4.5,VERSICOL
5.8,4.1,VERSICOL
5,1.6,SETOSA
4.6,1.4,SETOSA
6,4.5,VERSICOL
5.7,3.5,VERSICOL
5.7,1.5,SETOSA
5,1.4,SETOSA
7.7,6.1,VIRGINIC
6.3,5.6,VIRGINIC
5.8,5.1,VIRGINIC
5.7,4.2,VERSICOL
7.2,5.8,VIRGINIC
5.4,1.5,SETOSA
5.2,1.5,SETOSA
7.1,5.9,VIRGINIC
6.4,5.5,VIRGINIC
6,4.8,VIRGINIC
6.3,5.6,VIRGINIC
4.9,3.3,VERSICOL
5.6,4.2,VERSICOL
5.7,4.2,VERSICOL
5.5,1.4,SETOSA
4.9,1.5,SETOSA
7.7,6.9,VIRGINIC
6,5,VIRGINIC
5.4,1.7,SETOSA
6.6,4.6,VERSICOL
5.2,3.9,VERSICOL
6,4.5,VERSICOL
5,1.5,SETOSA
4.4,1.4,SETOSA
5,3.5,VERSICOL
5.5,3.7,VERSICOL
5.8,3.9,VERSICOL
4.7,1.3,SETOSA
4.6,1.5,SETOSA
6.9,5.7,VIRGINIC
6.2,4.3,VERSICOL
7.4,6.1,VIRGINIC
5.9,4.2,VERSICOL
5.1,1.5,SETOSA
5,1.3,SETOSA
5.6,4.9,VIRGINIC
6,4,VERSICOL
7.3,6.3,VIRGINIC
6.7,5.8,VIRGINIC
4.9,1.5,SETOSA
6.7,4.7,VERSICOL
6.3,4.4,VERSICOL
5.4,1.5,SETOSA
5.6,4.1,VERSICOL
6.3,4.9,VERSICOL
6.1,4.7,VERSICOL
6.4,4.3,VERSICOL
5.1,3,VERSICOL
5.7,4.1,VERSICOL
6.5,5.8,VIRGINIC
6.9,5.4,VIRGINIC
5.4,1.3,SETOSA
5.1,1.4,SETOSA
7.2,6.1,VIRGINIC
6.5,5.1,VIRGINIC
6.1,4.7,VERSICOL
5.6,3.6,VERSICOL
6.9,4.9,VERSICOL
6.4,5.3,VIRGINIC
6.8,5.5,VIRGINIC
5.5,4,VERSICOL
4.8,1.6,SETOSA
4.8,1.4,SETOSA
4.5,1.3,SETOSA
5.7,5,VIRGINIC
5.7,1.7,SETOSA
5.1,1.5,SETOSA
5.5,4,VERSICOL
6.6,4.4,VERSICOL
6.8,4.8,VERSICOL
5.4,1.7,SETOSA
5.1,1.5,SETOSA
5.2,1.5,SETOSA
5.8,5.1,VIRGINIC
6.7,5,VERSICOL
6.3,6,VIRGINIC
5.3,1.5,SETOSA
5,3.3,VERSICOL
