CompSépalas,CompPétalas,TipoIris
6.4,5.6,VIRGINIC
6.7,5.6,VIRGINIC
4.6,1.4,SETOSA
6.2,4.5,VERSICOL
4.6,1.0,SETOSA
6.0,5.1,VIRGINIC
5.6,3.9,VERSICOL
5.8,5.1,VIRGINIC
5.1,1.7,SETOSA
6.2,5.4,VIRGINIC
6.3,4.7,VERSICOL
7.6,6.6,VIRGINIC
5.5,1.3,SETOSA
7.0,4.7,VERSICOL
6.1,4.0,VERSICOL
5.9,5.1,VIRGINIC
6.3,5.0,VIRGINIC
5.2,1.4,SETOSA
5.4,4.5,VERSICOL
4.4,1.3,SETOSA
5.0,1.6,SETOSA
4.4,1.3,SETOSA
6.3,4.9,VERSICOL
5.5,4.4,VERSICOL
4.8,1.4,SETOSA
6.1,4.9,VERSICOL
5.0,1.6,SETOSA
6.1,5.6,VIRGINIC
4.3,1.1,SETOSA
5.1,1.9,SETOSA
6.2,4.8,VERSICOL
5.1,1.4,SETOSA
5.8,4.1,VERSICOL
4.6,1.4,SETOSA
5.7,3.5,VERSICOL
5.0,1.4,SETOSA
6.3,5.6,VIRGINIC
5.7,4.2,VERSICOL
5.4,1.5,SETOSA
7.1,5.9,VIRGINIC
6.0,4.8,VERSICOL
4.9,3.3,VERSICOL
5.7,4.2,VERSICOL
4.9,1.5,SETOSA
6.0,5.0,VERSICOL
6.6,4.6,VERSICOL
6.0,4.5,VERSICOL
4.4,1.4,SETOSA
5.5,3.7,VERSICOL
4.7,1.3,SETOSA
6.9,5.7,VIRGINIC
7.4,6.1,VIRGINIC
5.1,1.5,SETOSA
5.6,4.9,VIRGINIC
7.3,6.3,VIRGINIC
4.9,1.5,SETOSA
6.3,4.4,VERSICOL
5.6,4.1,VERSICOL
6.1,4.7,VERSICOL
5.1,3.0,VERSICOL
6.5,5.8,VIRGINIC
5.4,1.3,SETOSA
7.2,6.1,VIRGINIC
6.1,4.7,VERSICOL
6.9,4.9,VIRGINIC
6.8,5.5,VIRGINIC
4.8,1.6,SETOSA
4.5,1.3,SETOSA
5.7,1.7,SETOSA
5.5,4.0,VERSICOL
6.8,4.8,VERSICOL
5.1,1.5,SETOSA
5.8,5.1,VIRGINIC
6.3,6.0,VIRGINIC
5.0,3.3,VERSICOL
